Date,Sales
2011-01-01,408.3
2011-01-01,120.366
2011-01-01,66.12
2011-01-01,44.865
2011-01-01,113.67
2011-01-01,55.242
2011-02-01,285.78
2011-02-01,290.666
2011-02-01,206.4
2011-02-01,162.72
2011-02-01,352.35
2011-02-01,400.704
2011-02-01,309.6
2011-02-01,139.65
2011-02-01,40.68
2011-02-01,81.984
2011-02-01,78.3
2011-02-01,22.65
2011-02-01,20.34
2011-02-01,21.39
2011-02-01,21.06
2011-02-01,11.82
2011-02-01,9.576
2011-03-01,551.16
2011-03-01,1314.45
2011-03-01,1470.78
2011-03-01,364.416
2011-03-01,634.116
2011-03-01,246.48
2011-03-01,704.55
2011-03-01,1244.16
2011-03-01,214.758
2011-03-01,457.568
2011-03-01,587.7
2011-03-01,376.509
2011-03-01,194.64
2011-03-01,362.25
2011-03-01,162.84
2011-03-01,115.74
2011-03-01,493.2
2011-03-01,106.8
2011-03-01,266.25
2011-03-01,351.75
2011-03-01,238.929
2011-03-01,109.1853
2011-03-01,151.362
2011-03-01,91.872
2011-03-01,196.74
2011-03-01,117.504
2011-03-01,137.352
2011-03-01,98.94
2011-03-01,63.36
2011-03-01,129.552
2011-03-01,63.552
2011-03-01,221.16
2011-03-01,30.48
2011-03-01,46.53
2011-03-01,24.354
2011-03-01,23.868
2011-03-01,61.74
2011-03-01,37.08
2011-03-01,146.52
2011-03-01,102.438
2011-03-01,12.36
2011-03-01,11.76
2011-03-01,48.45
2011-03-01,18.84
2011-03-01,17.472
2011-03-01,13.32
2011-03-01,16.53
2011-03-01,12.636
2011-03-01,21.546
2011-03-01,17.82
2011-03-01,31.14
2011-03-01,25.317
2011-03-01,5.94
2011-04-01,496.584
2011-04-01,295.92
2011-04-01,567.6
2011-04-01,157.95
2011-04-01,138.696
2011-04-01,83.691
2011-04-01,85.536
2011-04-01,123.12
2011-04-01,80.064
2011-04-01,47.56
2011-04-01,67.608
2011-04-01,121.5
2011-04-01,44.94
2011-04-01,20.112
2011-04-01,43.8
2011-04-01,29.6
2011-04-01,25.344
2011-04-01,17.8
2011-04-01,66.96
2011-04-01,10.944
2011-04-01,15.28
2011-04-01,17.088
2011-04-01,6.24
2011-04-01,10.08
2011-04-01,8.784
2011-06-01,1037.7096
2011-06-01,1029.375
2011-06-01,1503.25
2011-06-01,881.93
2011-06-01,2001.86
2011-06-01,805.56
2011-06-01,482.48
2011-06-01,449.64
2011-06-01,389.48
2011-06-01,512.19
2011-06-01,222.56
2011-06-01,90.3
2011-06-01,211.803
2011-06-01,109.104
2011-06-01,140.4
2011-06-01,50.8
2011-06-01,289.2
2011-06-01,102.54
2011-06-01,138.56
2011-06-01,58.104
2011-06-01,57.6
2011-06-01,166.72
2011-06-01,58.83
2011-06-01,48.48
2011-06-01,65.52
2011-06-01,214.3791
2011-06-01,47.88
2011-06-01,62.7
2011-06-01,12.72
2011-06-01,10.116
2011-06-01,20.712
2011-06-01,27.99
2011-06-01,22.2
2011-06-01,25.92
2011-06-01,25.23
2011-06-01,22.14
2011-06-01,21.18
2011-06-01,45.48
2011-06-01,10.86
2011-06-01,6.99
2011-07-01,1888.236
2011-07-01,575.92
2011-07-01,622.86
2011-07-01,138.82
2011-07-01,463.44
2011-07-01,61.84
2011-07-01,34.02
2011-07-01,29.268
2011-07-01,19.92
2011-07-01,5.148
2011-07-01,5.184
2011-08-01,1157.58
2011-08-01,516.96
2011-08-01,1503.744
2011-08-01,922.86
2011-08-01,270.378
2011-08-01,217.2
2011-08-01,248.64
2011-08-01,99.48
2011-08-01,279.21
2011-08-01,99.252
2011-08-01,40.158
2011-08-01,80.43
2011-08-01,52.47
2011-08-01,253.3635
2011-08-01,196.02
2011-08-01,53.4
2011-08-01,90.234
2011-08-01,38.367
2011-08-01,85.02
2011-08-01,102.762
2011-08-01,78.304
2011-08-01,62.92
2011-08-01,40.704
2011-08-01,44.128
2011-08-01,44.088
2011-08-01,19.752
2011-08-01,24.0
2011-08-01,8.973
2011-08-01,24.651
2011-08-01,13.26
2011-08-01,3.321
2011-08-01,13.38
2011-08-01,11.73
2011-08-01,16.116
2011-08-01,17.544
2011-08-01,13.14
2011-08-01,10.416
2011-08-01,5.68
2011-08-01,7.884
2011-08-01,1.602
2011-09-01,1429.05
